Date,Adj Close,Close,High,Low,Open,Volume
12/23/2021,7373.299805,7373.299805,7385.399902,7331.100098,7341.700195,422671500
12/24/2021,7372.100098,7372.100098,7403.700195,7368.799805,7373.299805,126005500
12/29/2021,7420.700195,7420.700195,7457.100098,7372.100098,7372.100098,445975700
12/30/2021,7403,7403,7433.399902,7403,7420.700195,266402700
12/31/2021,7384.5,7384.5,7403,7357.100098,7403,179343800
1/4/2022,7505.200195,7505.200195,7520.799805,7384.5,7384.5,934179500
1/5/2022,7516.899902,7516.899902,7530,7484.299805,7505.200195,707511200
1/6/2022,7450.399902,7450.399902,7516.899902,7420,7516.899902,843728700
1/7/2022,7485.299805,7485.299805,7485.299805,7431.899902,7450.399902,705191000
1/10/2022,7445.299805,7445.299805,7496.100098,7422.899902,7485.299805,1047171300
1/11/2022,7491.399902,7491.399902,7497.100098,7445.299805,7445.299805,727102400
1/12/2022,7551.700195,7551.700195,7564.200195,7491.399902,7491.399902,873805500
1/13/2022,7563.899902,7563.899902,7566.5,7530.100098,7551.700195,776326000
1/14/2022,7543,7543,7568.200195,7523,7563.899902,790074900
1/17/2022,7611.200195,7611.200195,7616.100098,7543,7543,812336800
1/18/2022,7563.600098,7563.600098,7613.100098,7532,7611.200195,953228000
1/19/2022,7589.700195,7589.700195,7614.899902,7525.200195,7563.600098,867104400
1/20/2022,7585,7585,7619,7549.899902,7589.700195,786613700
1/21/2022,7494.100098,7494.100098,7585,7450.5,7585,819199800
1/24/2022,7297.200195,7297.200195,7494.100098,7283.399902,7494.100098,1332106600
1/25/2022,7371.5,7371.5,7382.600098,7297.200195,7297.200195,851981700
1/26/2022,7469.799805,7469.799805,7525.600098,7371.5,7371.5,783181000
1/27/2022,7554.299805,7554.299805,7596.700195,7388.799805,7469.799805,1022547800
1/28/2022,7466.100098,7466.100098,7554.299805,7420.200195,7554.299805,1529106100
1/31/2022,7464.399902,7464.399902,7524,7450.899902,7466.100098,761419500
2/1/2022,7535.799805,7535.799805,7549.299805,7463,7464.399902,746456700
2/2/2022,7583,7583,7605.600098,7535.799805,7535.799805,719672400
2/3/2022,7528.799805,7528.799805,7605.799805,7528.700195,7583,911775100
2/4/2022,7516.399902,7516.399902,7599.700195,7497.200195,7528.799805,885041900
2/7/2022,7573.5,7573.5,7591.700195,7508.5,7516.399902,1073651000
2/8/2022,7567.100098,7567.100098,7631.299805,7548.200195,7573.5,804533800
2/9/2022,7643.399902,7643.399902,7657.899902,7567.100098,7567.100098,992005300
2/10/2022,7672.399902,7672.399902,7687.299805,7622.700195,7643.399902,831756900
2/11/2022,7661,7661,7672.399902,7596.100098,7672.399902,909140800
2/14/2022,7531.600098,7531.600098,7661,7483.399902,7661,925229500
2/15/2022,7608.899902,7608.899902,7608.899902,7513.200195,7531.600098,808114200
2/16/2022,7603.799805,7603.799805,7630.700195,7560.899902,7608.899902,1128096000
2/17/2022,7537.399902,7537.399902,7607.200195,7499.899902,7603.799805,776929900
2/18/2022,7513.600098,7513.600098,7570.600098,7508.700195,7537.399902,768986400
2/21/2022,7484.299805,7484.299805,7571.100098,7446.399902,7513.600098,622636900
2/22/2022,7494.200195,7494.200195,7531.299805,7365,7484.299805,1018787100
2/23/2022,7498.200195,7498.200195,7550,7490.5,7494.200195,862648700
2/24/2022,7207,7207,7498.200195,7204.700195,7498.200195,1966584700
2/25/2022,7489.5,7489.5,7497.899902,7207.399902,7207.399902,1381725400
2/28/2022,7458.299805,7458.299805,7489.5,7361.600098,7489.5,1584580200
3/1/2022,7330.200195,7330.200195,7499.299805,7327.799805,7458.299805,1349616800
3/2/2022,7429.600098,7429.600098,7462.200195,7320.799805,7330.200195,1325548600
3/3/2022,7238.899902,7238.899902,7468.799805,7231.5,7429.600098,1226956300
3/4/2022,6987.100098,6987.100098,7238.899902,6980.899902,7238.899902,1560387400
3/7/2022,6959.5,6959.5,7030.700195,6788,6987.100098,2177431900
3/8/2022,6964.100098,6964.100098,7013.5,6893.600098,6959.5,1443985900
3/9/2022,7190.700195,7190.700195,7190.700195,6964.100098,6964.100098,1239463500
3/10/2022,7099.100098,7099.100098,7192.799805,7066,7190.700195,1139094000
3/11/2022,7155.600098,7155.600098,7260.399902,7099,7099.100098,973207200
3/14/2022,7193.5,7193.5,7222.899902,7144,7155.600098,916048600
3/15/2022,7175.700195,7175.700195,7193.5,7075.799805,7193.5,870528100
3/16/2022,7291.700195,7291.700195,7312.200195,7175.700195,7175.700195,1914129400
3/17/2022,7385.299805,7385.299805,7385.299805,7260.5,7291.700195,1095585500
3/18/2022,7404.700195,7404.700195,7406.100098,7318.899902,7385.299805,2316358900
3/21/2022,7442.399902,7442.399902,7465,7402.600098,7404.700195,811977600
3/22/2022,7476.700195,7476.700195,7490.5,7442.399902,7442.399902,1017354500
3/23/2022,7460.600098,7460.600098,7521.100098,7459.399902,7476.700195,859391300
3/24/2022,7467.399902,7467.399902,7492,7453.299805,7460.600098,737167300
3/25/2022,7483.399902,7483.399902,7502.700195,7441.299805,7467.399902,870705400
3/28/2022,7473.100098,7473.100098,7539.299805,7471.5,7483.399902,775526800
3/29/2022,7537.299805,7537.299805,7584.100098,7473.100098,7473.100098,1172893900
3/30/2022,7578.799805,7578.799805,7578.799805,7523.799805,7537.299805,1036020900
3/31/2022,7515.700195,7515.700195,7595.399902,7515.700195,7578.799805,925410900
4/1/2022,7537.899902,7537.899902,7552.5,7508.899902,7515.700195,811395500
4/4/2022,7558.899902,7558.899902,7574.299805,7532.200195,7537.899902,837403600
4/5/2022,7613.700195,7613.700195,7613.700195,7536.200195,7558.899902,1212100600
4/6/2022,7587.700195,7587.700195,7614.100098,7536.200195,7613.700195,1102885900
4/7/2022,7551.799805,7551.799805,7601.5,7537.299805,7587.700195,1153908000
4/8/2022,7669.600098,7669.600098,7669.600098,7551.799805,7551.799805,919254100
4/11/2022,7618.299805,7618.299805,7669.600098,7611.700195,7669.600098,835767000
4/12/2022,7576.700195,7576.700195,7618.299805,7543,7618.299805,772543400
4/13/2022,7580.799805,7580.799805,7597.899902,7550.899902,7576.700195,742706800
4/14/2022,7616.399902,7616.399902,7622.399902,7551.399902,7580.799805,1005764400
4/19/2022,7601.299805,7601.299805,7624.899902,7565.799805,7616.399902,846777100
4/20/2022,7629.200195,7629.200195,7637.899902,7590.600098,7601.299805,1212543400
4/21/2022,7628,7628,7656.5,7596.299805,7629.200195,764750300
4/22/2022,7521.700195,7521.700195,7628,7521.700195,7628,694792900
4/25/2022,7380.5,7380.5,7521.700195,7339.5,7521.700195,755160100
4/26/2022,7386.200195,7386.200195,7463.200195,7380.5,7380.5,847986700
4/27/2022,7425.600098,7425.600098,7458.200195,7344.899902,7386.200195,958503900
4/28/2022,7509.200195,7509.200195,7519.700195,7425.600098,7425.600098,917004000
4/29/2022,7544.600098,7544.600098,7569.799805,7509.200195,7509.200195,983441700
5/3/2022,7561.299805,7561.299805,7561.299805,7475.700195,7544.600098,1342876200
5/4/2022,7493.5,7493.5,7572.700195,7493.5,7561.299805,699267900
5/5/2022,7503.299805,7503.299805,7619.399902,7493.5,7493.5,931632400
5/6/2022,7387.899902,7387.899902,7503.299805,7354.100098,7503.299805,1089227300
5/9/2022,7216.600098,7216.600098,7391.600098,7216.600098,7387.899902,803955700
5/10/2022,7243.200195,7243.200195,7311.700195,7216.600098,7216.600098,919988500
5/11/2022,7347.700195,7347.700195,7349.700195,7239,7243.200195,1206944700
5/12/2022,7233.299805,7233.299805,7347.700195,7158.5,7347.700195,966343100
5/13/2022,7418.200195,7418.200195,7422,7233.299805,7233.299805,871946000
5/16/2022,7464.799805,7464.799805,7464.799805,7361.700195,7418.200195,814978400
5/17/2022,7518.399902,7518.399902,7538.700195,7464.799805,7464.799805,821412200
5/18/2022,7438.100098,7438.100098,7526.100098,7438.100098,7518.399902,830397600
5/19/2022,7302.700195,7302.700195,7438.100098,7228.700195,7438.100098,1037438100
5/20/2022,7390,7390,7453.5,7302.700195,7302.700195,790841400
5/23/2022,7513.399902,7513.399902,7513.399902,7390,7390,819767300
5/24/2022,7484.399902,7484.399902,7529.700195,7434.5,7513.399902,1113802600
5/25/2022,7522.799805,7522.799805,7546.399902,7484.399902,7484.399902,898078000
5/26/2022,7564.899902,7564.899902,7575.5,7512.5,7522.799805,709669900
5/27/2022,7585.5,7585.5,7597.600098,7542.799805,7564.899902,713185000
5/30/2022,7600.100098,7600.100098,7625.600098,7576.399902,7585.5,1009169800
5/31/2022,7607.700195,7607.700195,7648.299805,7591.799805,7600.100098,1620576000
6/1/2022,7533,7533,7639.200195,7529.200195,7607.700195,734829800
6/6/2022,7608.200195,7608.200195,7646.700195,7532.799805,7533,696171700
6/7/2022,7598.899902,7598.899902,7617.5,7570.700195,7608.200195,750124500
6/8/2022,7593,7593,7616.200195,7550.700195,7598.899902,776478300
6/9/2022,7476.200195,7476.200195,7593,7472.299805,7593,771939100
6/10/2022,7317.5,7317.5,7476.200195,7294.200195,7476.200195,911375600
6/13/2022,7205.799805,7205.799805,7317.5,7174,7317.5,980090400
6/14/2022,7187.5,7187.5,7271.899902,7135.200195,7205.799805,864847700
6/15/2022,7273.399902,7273.399902,7313.700195,7186.5,7187.5,1089092800
6/16/2022,7045,7045,7273.399902,7039.5,7273.399902,1162889200
6/17/2022,7016.299805,7016.299805,7130.600098,6998.200195,7045,1908921300
6/20/2022,7121.799805,7121.799805,7129.600098,7016.200195,7016.299805,666757200
6/21/2022,7152.100098,7152.100098,7193.899902,7119.299805,7121.799805,580244500
6/22/2022,7089.200195,7089.200195,7152.100098,7030,7152.100098,1204359700
6/23/2022,7020.5,7020.5,7115.799805,7014.200195,7089.200195,763870700
6/24/2022,7208.799805,7208.799805,7211.100098,7016,7020.5,772223900
6/27/2022,7258.299805,7258.299805,7284.5,7208.5,7208.799805,802411400
6/28/2022,7323.399902,7323.399902,7362.399902,7258.299805,7258.299805,735789800
6/29/2022,7312.299805,7312.299805,7345.5,7263.5,7323.399902,718640800
6/30/2022,7169.299805,7169.299805,7312.299805,7110.700195,7312.299805,903650800
7/1/2022,7168.700195,7168.700195,7214.799805,7101.399902,7169.299805,677216200
7/4/2022,7232.700195,7232.700195,7258.5,7168.700195,7168.700195,420674600
7/5/2022,7025.5,7025.5,7260.299805,7016.799805,7232.700195,1105144500
7/6/2022,7107.799805,7107.799805,7198.700195,7025.399902,7025.5,933905000
7/7/2022,7189.100098,7189.100098,7213.100098,7107.799805,7107.799805,1108987400
7/8/2022,7196.200195,7196.200195,7210.600098,7129.200195,7189.100098,604222100
7/11/2022,7196.600098,7196.600098,7204.100098,7097.399902,7196.200195,676893400
7/12/2022,7209.899902,7209.899902,7216.899902,7143.299805,7196.600098,855143900
7/13/2022,7156.399902,7156.399902,7209.899902,7104.100098,7209.899902,805881600
7/14/2022,7039.799805,7039.799805,7157.600098,7007.100098,7156.399902,848278400
